"X.median_R_mean.lag_we","X.median_R_mean.lag1_we","X.percentage_age_we","X.Density_we","X.population_we","X.schoolClosing_we","X.restGatherings_we","X.cancEvents_we","X.testingPolicy_we","X.workClosing2a_we","X.grocery_and_pharmacy_we","X.transit_stations_we","X.transactiongrowth_we","X.workplaces_we","X.sre000d0_we","X.tre200d0_we","X.ure200d0_we","X.ferien_we","X.Canton_3","X.oneweek","Y","W"
1,1.04571428571429,4.01295282845893,2276.853836,315100,1,1,1,3,1,-4.20414285714286,-17.9388571428571,0.0238291041515435,-31.7144285714286,589.214285714286,17.1642857142857,74.8714285714286,0,5,24,1.34857142857143,0
1.14571428571429,1.34857142857143,4.01295282845893,2276.853836,315100,1,1,1,3,1,-0.449142857142857,-12.9594285714286,-0.0706865750637693,-24.102,496.714285714286,20.1571428571429,71.9,0,5,25,1.69285714285714,0
1.04571428571429,1.69285714285714,4.01295282845893,2276.853836,315100,1,1,1,3,1,-0.816142857142857,-12.2857142857143,0.0707816705159008,-19.796,445.5,18.8142857142857,70.5071428571429,0,5,26,1.18,0
1.34857142857143,1.18,4.01295282845893,2276.853836,315100,1,2,1,3,1,-0.612285714285714,-11.9998571428571,0.0341571890774084,-17.4081428571429,290,15.4571428571429,69.7928571428571,0,5,27,1.25714285714286,0
1.69285714285714,1.25714285714286,4.01295282845893,2276.853836,315100,1,2,1,3,1,-2.97971428571429,-15.5714285714286,-0.0372064411596593,-18.143,433,14.4,76.9928571428571,0,5,28,1.02142857142857,0
1.18,1.02142857142857,4.01295282845893,2276.853836,315100,1,2,1,3,1,-1.898,-10.9184285714286,0.00401837021823503,-17.612,591,16.05,79.3,0,5,29,0.752857142857143,0
1.25714285714286,0.752857142857143,4.01295282845893,2276.853836,315100,1,2,1,2.57142857142857,1,-1.36757142857143,-8.53071428571429,-0.0295372241707277,-15.2855714285714,502.785714285714,18.1571428571429,77.9071428571429,0,5,30,0.835714285714286,0
1.02142857142857,0.835714285714286,4.01295282845893,2276.853836,315100,1,2,1,2,1,-3.12257142857143,-12.5101428571429,0.0298951021110323,-16.1837142857143,89.3571428571429,10.8928571428571,85.1428571428571,0,5,31,1.41428571428571,0
0.752857142857143,1.41428571428571,4.01295282845893,2276.853836,315100,1,2,1,2,1,-2.73457142857143,-15.5712857142857,0.0245796079856024,-16.5712857142857,145.428571428571,8.97857142857143,87.2857142857143,0,5,32,1.98142857142857,0
0.835714285714286,1.98142857142857,4.01295282845893,2276.853836,315100,1,2,1,2,1,-3.38771428571429,-16.6937142857143,-0.000569353567383857,-18.5511428571429,148.428571428571,8.99285714285714,80.0571428571428,0,5,33,1.87714285714286,0
1.41428571428571,1.87714285714286,4.01295282845893,2276.853836,315100,1,2,1,2,1,-4.20385714285714,-19.7141428571429,-0.0283677671339841,-18.5102857142857,91.2142857142857,4.9,88,0,5,34,1.55857142857143,0.285714285714286
1.98142857142857,1.55857142857143,4.01295282845893,2276.853836,315100,1,3,1.42857142857143,2,1,-3.69371428571429,-21.0817142857143,-0.04788302236852,-17.8365714285714,207.571428571429,9.1,81.4428571428571,1,5,35,1.21,1
1.87714285714286,1.21,4.01295282845893,2276.853836,315100,1,3,2,2,1.57142857142857,-2.34714285714286,-24.0407142857143,0.0323714641164159,-17.5714285714286,218.642857142857,8.67142857142857,80.3714285714286,0.714285714285714,5,36,1.05142857142857,1
1.55857142857143,1.05142857142857,4.01295282845893,2276.853836,315100,2,3,2,2,2.71428571428571,-3.93885714285714,-28.1837142857143,-0.0459387141331664,-19.1428571428571,122.071428571429,8.17142857142857,84.7714285714286,0,5,37,0.754285714285714,1
1.21,0.754285714285714,4.01295282845893,2276.853836,315100,2,3,2,2,3,-3.51,-28.1225714285714,-0.0223271511162721,-19.9184285714286,325.428571428571,7.43571428571429,82.3428571428571,0,5,38,0.564285714285714,1
1.05142857142857,0.564285714285714,4.01295282845893,2276.853836,315100,2,3,2,2,3,-2.87728571428571,-27.2448571428571,0.00444058751055287,-18.7142857142857,269.571428571429,4.02142857142857,82.1571428571429,0,5,39,0.711428571428571,1
0.754285714285714,0.711428571428571,4.01295282845893,2276.853836,315100,2,3,2,2,3,-2.16314285714286,-28.5101428571429,0.115409660391279,-18.0001428571429,193.928571428571,1.26428571428571,85.3428571428571,0,5,40,0.947142857142857,1
0.564285714285714,0.947142857142857,4.01295282845893,2276.853836,315100,2,3,2,2,3,0.122428571428571,-28.3674285714286,0.00359468400658081,-16.592,53.4285714285714,-0.557142857142857,92.4642857142857,0,5,41,0.93,1
0.711428571428571,0.93,4.01295282845893,2276.853836,315100,2,3,2,2,2.42857142857143,-2.245,-29.3675714285714,-0.0678451982212351,-18.1227142857143,60.9285714285714,-0.7,92.3357142857143,0,5,42,0.92,1
0.947142857142857,0.92,4.01295282845893,2276.853836,315100,2,3,2,2,2,-2.95914285714286,-28.4081428571429,0.136940865929175,-16.6124285714286,102.285714285714,3.45714285714286,88.2642857142857,0,5,43,0.93,1
0.838571428571429,1.43714285714286,5.78993291632672,2655.782719,178000,1,1,1,3,1,3.97971428571429,-11.3262857142857,-0.0379998860806179,-16.9998571428571,695.285714285714,16.9485714285714,61.9114285714286,0,11,20,1.45714285714286,0
0.882857142857143,1.45714285714286,5.78993291632672,2655.782719,178000,1,1,1,3,1,1.87742857142857,-14.2652857142857,-0.0610268238269658,-20.8365714285714,413.5,15.9057142857143,68.0371428571429,0,11,21,0.875714285714286,0
